date,store_id,category,sub_category,item_id,is_weekend,is_holiday,units_sold,revenue,avg_price,footfall,promotion_discount_pct,promotion_type,holiday_type,weather_condition,temperature_c
2025-01-01,Store_1,Household,General,Hsh_Item_1,0,0,22.0,3293.84,187.15,344,20,Clearance,no_holiday,Storm,23.3
2025-01-02,Store_1,Household,General,Hsh_Item_1,0,0,25.0,3115.18,178.01,415,30,BOGO,no_holiday,Rainy,19.5
2025-01-03,Store_1,Household,General,Hsh_Item_1,0,0,15.0,2271.96,189.33,313,20,no_promotion,no_holiday,Storm,39.3
2025-01-04,Store_1,Household,General,Hsh_Item_1,1,0,16.0,2261.62,201.93,371,30,no_promotion,no_holiday,Sunny,16.2
2025-01-05,Store_1,Household,General,Hsh_Item_1,1,0,21.0,3709.23,176.63,369,0,no_promotion,no_holiday,Storm,26.0
2025-01-06,Store_1,Household,General,Hsh_Item_1,0,0,26.0,4133.14,176.63,447,10,BOGO,no_holiday,Storm,33.9
2025-01-07,Store_1,Household,General,Hsh_Item_1,0,0,15.0,2128.77,202.74,291,30,no_promotion,no_holiday,Cloudy,17.2
2025-01-08,Store_1,Household,General,Hsh_Item_1,0,0,19.0,2540.96,191.05,347,30,Clearance,no_holiday,Sunny,29.7
2025-01-09,Store_1,Household,General,Hsh_Item_1,0,0,20.0,3464.8,173.24,397,0,no_promotion,no_holiday,Storm,15.4
2025-01-10,Store_1,Household,General,Hsh_Item_1,0,0,17.0,2554.22,187.81,386,20,Clearance,no_holiday,Rainy,17.9
2025-01-11,Store_1,Household,General,Hsh_Item_1,1,0,29.0,3518.6,173.33,391,30,no_promotion,no_holiday,Storm,21.9
2025-01-12,Store_1,Household,General,Hsh_Item_1,1,0,31.0,4297.59,173.29,379,20,BOGO,no_holiday,Cloudy,34.3
2025-01-13,Store_1,Household,General,Hsh_Item_1,0,0,22.0,2825.59,183.48,404,30,no_promotion,no_holiday,Rainy,18.5
2025-01-14,Store_1,Household,General,Hsh_Item_1,0,0,15.0,2286.75,152.45,385,0,no_promotion,no_holiday,Cloudy,32.4
